flota,p_bloqueo_medio,sd
1,75.44516477361086,0.9781232587036396
2,49.90301371771089,0.8945458131017949
3,33.327206675597616,1.0231469233241586
4,21.57093876494833,0.9873417623116226
5,13.66400710258039,0.9094314715334
6,8.438413502860362,0.8112336662449581
7,5.139315806402238,0.4831819572384048
8,3.27824383410132,0.5936005614556769
9,2.206179446269484,0.4614756579535284
10,1.5345668675958402,0.3456915834143703
11,1.1552389778519092,0.24460968603406472
12,1.013189680944977,0.2132014006660581
13,0.8735542407224066,0.21457878852749987
14,0.8126192809711708,0.16857910474466709
15,0.7488050633861869,0.21832894676449396
